,id,text,label,ind
0,0,"Para warga pada metu karo nggowoni sampah sing wis dipisah antarané sampah tèlès lan sampah garing. ing sajroning bak sampah, Cecep (17), gawéané luwih énténg amarga wis didèwèné sampahé, dèwèé ora pèrlu antri. ",Anak-anak kemudian meninggalkan dan Norman bekerja keluar bahwa telegram dibawa ke ibunya dengan Paman Phil ternyata penipuan untuk mendapatkan Isabel untuk menjual pertanian. ,Anak -anak kemudian pergi dan Norman bekerja bahwa Telegram dibawa ke ibunya bersama Paman Phil bahwa itu adalah penipuan untuk membuat Isabel menjual pertanian.
1,1,"Pramila putranipun ingkang asma Drestarastra-ramanipun para Korawa, miyosipun wuta. ","Lalu tahanlah diri dari sholat, karena sesungguhnya ketika itu neraka jahanam dinyalakan. ","Kemudian pegang diri Anda dari doa, karena sebenarnya ketika neraka dihidupkan."
2,2,"Sira banjur didangu sarupaning kabungahan paparinging Allah nalika ing donya, ya gene ora padha syukur? ",Tidakkah Allah lebih mengetahui tentang golongan yang bersyukur? ,Bukankah Tuhan tahu lebih banyak tentang kelompok yang bersyukur?
3,3,Temoné ing kana wujud prasasti watu. ,Demikian pula manusia memiliki kemampuan tersebut. ,"Demikian juga, manusia memiliki kemampuan itu."
4,4,"""Ivan Lanin, Bangga Berbahasa Indonésia"". ","""Ivan Lanin, Bangga Berbahasa Indonesia"". ","""Ivan Lanin, bangga berbicara Indonesia""."
5,5,"Sadèrèngipun Perang Dunia II, 14 radio komersial lan 12 radio umum ingkang saged dipunoperasikaken ing Prancis. ","Sebelum Perang Dunia II, 14 radio komersial dan 12 radio umum beroperasi di Prancis. ","Sebelum Perang Dunia II, 14 radio komersial dan 12 radio umum dioperasikan di Prancis."
6,6,Malu (Aku) Jadi Orang Indonésia. ,Malu (Aku) Jadi Orang Indonesia. ,Malu (i) Menjadi Indonesia.
7,7,Semono uga ing Sejumlah Perkutut buat Bapak. ,Demikian pula dengan Sejumlah Perkutut Buat Bapak. ,Hal yang sama berlaku untuk beberapa turtledoves untuk Anda.
8,8,"""Ya, mereka bertunangan. ",Kemudian mereka menikah. ,Kemudian mereka menikah.
9,9,Kriteria punika kedah dipunterapaken ing konsekuensi-konsekuensi ingkang timbul saking putusan-putusan etis. ,Kriteria itu harus diterapkan pada konsekuensi-konsekuensi yang timbul dari keputusan-keputusan etis. ,Kriteria ini harus digunakan untuk konsekuensi yang timbul dari keputusan etis.
10,10,Dijupuk 7 November 2012. Bolehkah Menjadi Ateis di Indonésia? ,Diakses tanggal 7 November 2012. ^ Bolehkah Menjadi Ateis di Indonesia? ,Diakses 7 November 2012. ^ Bisakah Anda menjadi ateis di Indonesia?
11,11,"Paulus nyebut dhèknèné minangka ""rasul kanggo bangsa-bangsa non-Yahudi"" (Roma 11:13). ","Paulus menyebut dirinya sebagai ""rasul bagi bangsa-bangsa non-Yahudi"" (Roma 11:13). ","Paulus menyebut dirinya ""rasul untuk negara-negara non-Yahudi"" (Roma 11:13)."
12,12,Jenengé disebutake kaping 27 ing Al-Quran. ,Ia menyebutkan ayat ke-27 dalam surah Ar-Rahman. ,Dia menyebutkan ayat 27 di Surah Ar-Rahman.
