,id,text,label,jav
0,0,"Para warga pada metu karo nggowoni sampah sing wis dipisah antarané sampah tèlès lan sampah garing. ing sajroning bak sampah, Cecep (17), gawéané luwih énténg amarga wis didèwèné sampahé, dèwèé ora pèrlu antri. ",Anak-anak kemudian meninggalkan dan Norman bekerja keluar bahwa telegram dibawa ke ibunya dengan Paman Phil ternyata penipuan untuk mendapatkan Isabel untuk menjual pertanian. ,"Pendhudhuk lokal metu nganggo sampah cilik sing dipisahake ing antarane telet lan garing. Ing njero tabung sampah, netepi (17), lemu amarga samesthine bakal lair, lan ora antries."
1,1,"Pramila putranipun ingkang asma Drestarastra-ramanipun para Korawa, miyosipun wuta. ","Lalu tahanlah diri dari sholat, karena sesungguhnya ketika itu neraka jahanam dinyalakan. ","Mulané bapak Krava, wuta."
2,2,"Sira banjur didangu sarupaning kabungahan paparinging Allah nalika ing donya, ya gene ora padha syukur? ",Tidakkah Allah lebih mengetahui tentang golongan yang bersyukur? ,"Banjur sampeyan njaluk bungah, jagad iki, apa ana?"
3,3,Temoné ing kana wujud prasasti watu. ,Demikian pula manusia memiliki kemampuan tersebut. ,Tees minangka wujud prasasti watu.
4,4,"""Ivan Lanin, Bangga Berbahasa Indonésia"". ","""Ivan Lanin, Bangga Berbahasa Indonesia"". ","""Ivan Lanin, bangga jinis."
5,5,"Sadèrèngipun Perang Dunia II, 14 radio komersial lan 12 radio umum ingkang saged dipunoperasikaken ing Prancis. ","Sebelum Perang Dunia II, 14 radio komersial dan 12 radio umum beroperasi di Prancis. ","Ing Perang Donya II, 14 radio komersial lan 12 radio umum sing bisa dioperasekake kanthi bener ing Prancis."
6,6,Malu (Aku) Jadi Orang Indonésia. ,Malu (Aku) Jadi Orang Indonesia. ,Isin karo aku ing Indonesia.
7,7,Semono uga ing Sejumlah Perkutut buat Bapak. ,Demikian pula dengan Sejumlah Perkutut Buat Bapak. ,Uga wiji cukur kanggo bapakne.
8,8,"""Ya, mereka bertunangan. ",Kemudian mereka menikah. ,"""Ya, eling."
9,9,Kriteria punika kedah dipunterapaken ing konsekuensi-konsekuensi ingkang timbul saking putusan-putusan etis. ,Kriteria itu harus diterapkan pada konsekuensi-konsekuensi yang timbul dari keputusan-keputusan etis. ,Kritéria kasebut kudu dituduhake minangka asil saka keputusan etis.
10,10,Dijupuk 7 November 2012. Bolehkah Menjadi Ateis di Indonésia? ,Diakses tanggal 7 November 2012. ^ Bolehkah Menjadi Ateis di Indonesia? ,Ditangkep tanggal 7 Nopember 2012. Preinan ATHEIS ing Indonesia?
11,11,"Paulus nyebut dhèknèné minangka ""rasul kanggo bangsa-bangsa non-Yahudi"" (Roma 11:13). ","Paulus menyebut dirinya sebagai ""rasul bagi bangsa-bangsa non-Yahudi"" (Roma 11:13). ","Paulus nyebut ""Rasul kanggo Non-wong Yahudi"" (Roma 11:13)."
12,12,Jenengé disebutake kaping 27 ing Al-Quran. ,Ia menyebutkan ayat ke-27 dalam surah Ar-Rahman. ,Jenengé yaiku --27 ngomong ing Al -quran.
13,13,Tuladha: sepira dhuwur mu?. ,"Katanya: ""Tetapi kejahatan apakah yang telah dilakukan-Nya?"" ",Tuladha: Dhuwurmu?
14,14,Ngudhunaké tekanan darah. ,Menjaga tekanan darah. ,Nggawa tekanan getih.
15,15,Punika ngakomodasi tradisi panjang saking aturan badan kolektif ing Swiss. ,Ini mengakomodasi tradisi panjang dari aturan badan kolektif di Swiss. ,Iki diwenehi tradhisi lawas aturan awak kolektif ing Swiss.
16,16,Surah Al-Lahab utawa Al-Masad iku surat angka 111 sajeroning Al-Qur'an. ,Surah Al-Lahab atau Al-Massad adalah surat ke-111 dalam Al-Qur'an. ,Al-Lahab utawa Al-Masad minangka nomer 111 ing Al-Quran.
17,17,"Miturut anggapan Persatuan Opera Amérika, Rigoletto inggih punika opera ke-9 ingkang paling asring dipunmainakèn ing Amérika Utara. ","Menurut anggapan Persatuan Opera Amerika, Rigoletto adalah opera ke-9 yang paling sering dimainkan di Amerika Utara. ","Miturut Asosiasi Amérika American of American, Rigoletto minangka opera paling populer ing Amerika Lor."
18,18,"Bai = inggih Ez = boten Kaixo!, Agur! = Hallo Agur!, Adio! = Sugeng pepanggihan! ","Bai = Ya Ez = Tidak Kaixo!, Agur! = Hallo Agur!, Adio! = Selamat tinggal! ","Bai = apik ez = ora ana ing!, Agur! = Hallo agur!, Adho! = Sugeng!"
19,19,Présidhèn Indonésia (1974). ,Presiden Indonesia (1974). ,Presiden Indonesia (1974).
20,20,Dina Abasa Bali adaté lumaku mligi ing tataran pamulangan. ,"Maka sudah sepatutnyalah sebelum engkau bertindak, datanglah kepada dia terlebih dahulu. ",Dina iki bali menyang adat ing tahap.
21,21,ASP.NET bisa minangka ngekspos fungsi bisnis ing partner lumantar protokol Web standar. ,ASP.NET dapat digunakan untuk mengekspos fungsi bisnis ke partner melalui protokol Web standar. ,ASP.NET bisa nyengkuyung fungsi bisnis ing pasangan sampeyan liwat protokol web standar.
22,22,Pamarèntahanipun dipunandhapaken rakyat wonten ing revolusi people power (kekiyatan rakyat) ingkang dipunkenal kanthi nama Revolusi EDSA II. ,Pemerintahannya dijatuhkan rakyat dalam revolusi people power (kekuatan rakyat) yang dikenal dengan nama Revolusi EDSA II. ,Pamrentah diterbitake dening masarakat ing revolusi kekuwatan wong (kekuwatan wong) sing dikenal minangka Edsa Revolusi II.
23,23,Potter asring nggatosakèn kéwan-kéwan punika selama berjam-jam lan ndamèl sketsa mereka. ,Potter sering memperhatikan hewan-hewan ini selama berjam-jam dan membuat sketsa mereka. ,Potter asring kewan sing ora nyenengake kanggo kewan lan sketsa iki.
24,24,"Nelson Mandela, Présidhèn Afrika Selatan. ","Nelson Mandela, Presiden Afrika Selatan. ","Nelson Mandela, Prédia Afrika Kidul."
25,25,Bukunipun Sastra dan Religiositas mimpanganken bebingah buku non-fiksi paling saé taun 1982. ,Buku Sastra dan Religiositas yang ditulisnya mendapat penghargaan buku non-fiksi terbaik tahun 1982. ,Sastra lan agama bakal ana ing jumlah buku sing ora ana ing taun 1982.
26,26,"Lumantar Mantri Luar Negeri Alwi Shihab, Présidhèn gagal nyegah perkawis punika dhateng pulisi. ","Lewat Menteri Luar Negeri Alwi Shihab, Presiden gagal menghentikan persoalan ini di polisi. ","Liwat manca sing nyeleh alwi Shihab, kegagalan presiden mblokir polisi."
27,27,"Minangka Go-on Red, seranganipun inggih punika serangan kecepatan tinggi lan partnernya inggih punika Speedor. ","Sebagai Go-on Red, serangannya adalah serangan kecepatan tinggi dan partnernya adalah Speedor. ","Minangka abang, asistene minangka serangan kacepetan lan mitra minangka kacepetan."
28,28,"Jumlah subunit bisa bervariasi malah ing sèl kang padha contohe ing Salmonella kang jumlah subunita antara 3, 4, utawa 5. ","Jumlah subunit dapat bervariasi bahkan pada sel yang sama contohnya pada Salmonella yang jumlah subunitnya antara 3, 4, atau 5 . ","Jumlah subunit bisa dadi sudhut sanajan sel sing ditemokake ing jumlah salmonella subunita ing antarane 3, 4, utawa 5."
29,29,"Nalika ing Jakarta, Robby kenalan banjur dadi ""murid"" Prajudi. ","Di Jakarta, Robby sempat berkenalan dan menjadi ""murid"" Prajudi. ","Nalika ing Jakarta, Kontak Robby dadi ""siswa"" siswa."
30,30,Indonésia (perairan Indo-Pasifik). ,Indonesia (perairan Indo-Pasifik). ,Indonesia (nesu Indo-Pasifik).
31,31,"Persatuan Wartawan Indonésia, Anggota Muda, Taun 1980. ","Persatuan Wartawan Indonesia, Anggota Muda, Tahun 1980. ","Wartawan ing Indonesia, anggota enom, ing taun 1980."
32,32,"Dibuka taun 2003, kanthi kapasitas 18.000 kursi. ","Dibuka pada tahun 2003, dengan 18.000 tempat duduk. ","Dibukak ing taun 2003, kanthi kapasitas 18.000 kursi."
33,33,"Lagu ""She"" dadi puncak tangga lagu Britania. ","Lagu ""She"" menduduki puncak tangga lagu Britania. ","Lagu ""Dia"" dadi ndhuwur lagu Inggris."
